"Model","Feature","Mean_Absolute_SHAP","SD_SHAP"
"Base","hp",1.24010739196896,0.0684604664820824
"Base","wt",1.09187186073777,0.0626834484760685
"Base","disp",1.03687982877328,0.0610336303645107
"Base","cyl",0.806349826630348,0.0542854786849872
"Base","drat",0.32680152369878,0.0407909062552096
"Base","carb",0.267699622824416,0.0324997981845374
"Base","vs",0.141469068198069,0.0237711425665962
"Base","am",0.140694637213048,0.026611830369702
"Base","gear",0.137742643092942,0.0209993399490059
"Base","qsec",0.0676405538151527,0.0168147339133507
"Overspecified","hp",1.18948808376708,0.0696370039510247
"Overspecified","wt",1.16967468313727,0.0684345695252304
"Overspecified","disp",1.06301664592533,0.0576380523746637
"Overspecified","cyl",0.749605044449837,0.0597938685136844
"Overspecified","drat",0.28826035006649,0.0444917036554249
"Overspecified","carb",0.165998280190871,0.0224152688557664
"Overspecified","am",0.107616307745118,0.0281639889282099
"Overspecified","vs",0.104933876221668,0.0243220407353692
"Overspecified","gear",0.100331042640466,0.0221887577563158
"Overspecified","noise_1",0.0898276875332095,0.016975591888964
"Overspecified","noise_3",0.0679477182073769,0.0122400477558167
"Overspecified","noise_5",0.0622787751512323,0.0129608189436243
"Overspecified","noise_2",0.0586148179880035,0.0132353106344761
"Overspecified","qsec",0.0341896213679574,0.0150206910331976
"Overspecified","noise_4",0.0334961195488056,0.00960508716292916
