"Seed","Feature","Mean_Absolute_SHAP","SD_SHAP"
123,"veh_value",188.622933343713,282.627720936408
123,"exposure",380.744077895194,637.177258260589
123,"veh_body",123.846853065998,170.16678249531
123,"veh_age",106.269845530497,126.444055265628
123,"gender",88.1596550777544,131.110591117844
123,"area",129.922360308812,190.0284005394
123,"agecat",170.528455907852,273.549235100945
456,"veh_value",181.968112486838,261.214960813305
456,"exposure",381.350834121993,626.091557057256
456,"veh_body",125.743853558542,171.377007452616
456,"veh_age",101.193212155589,125.202624429263
456,"gender",86.5261074029741,118.784739153253
456,"area",134.833009957724,202.081782098918
456,"agecat",168.762378672038,271.059275456233
789,"veh_value",178.013914397072,274.394249365763
789,"exposure",392.547448891849,648.039608503551
789,"veh_body",118.86324118891,159.844430157639
789,"veh_age",108.516084176165,135.467465583718
789,"gender",89.7983226625004,130.098198377834
789,"area",129.161687984393,199.038204853773
789,"agecat",165.300787901163,279.730177065631
1011,"veh_value",182.249451328302,288.286224250636
1011,"exposure",384.413732423018,638.630530457746
1011,"veh_body",128.866611537035,178.350172225023
1011,"veh_age",97.3883872583912,120.844008767173
1011,"gender",88.7920738036809,133.555348963801
1011,"area",138.412571617625,213.335914938496
1011,"agecat",172.44797696489,294.390460318268
2022,"veh_value",181.095928301136,254.911083043884
2022,"exposure",374.717974904207,605.773751880509
2022,"veh_body",133.541018683422,174.606644349237
2022,"veh_age",102.556457926431,123.308038709444
2022,"gender",83.5694989093588,120.511863730213
2022,"area",129.116067175988,200.984005679306
2022,"agecat",167.1720379146,266.055805866289
