"Trees","Feature","SD_SHAP","Mean_Absolute_SHAP"
50,"agecat",14.8439500133249,169.864178141659
50,"area",13.8049437119604,155.177735475861
50,"exposure",20.030368442875,377.85850840449
50,"gender",9.30476899914366,90.0425794041344
50,"veh_age",12.8349421522547,118.843674481054
50,"veh_body",18.125899782384,144.169921149329
50,"veh_value",12.8425076948668,195.432736600234
100,"agecat",7.82709126448217,164.100110683723
100,"area",12.2157082816474,141.614606356668
100,"exposure",9.04815893679386,383.402838416503
100,"gender",3.59884328913194,86.1836468559796
100,"veh_age",13.8232703436145,110.206373625735
100,"veh_body",17.0689315892269,134.07792047655
100,"veh_value",17.194609618952,183.800814260226
250,"agecat",7.1290985983318,165.458636009684
250,"area",6.36932106283345,138.191476272155
250,"exposure",5.15139837105489,379.650781845592
250,"gender",6.5870515044324,86.2044683630388
250,"veh_age",6.66070725439071,103.694973411125
250,"veh_body",4.34343167507339,127.307318389766
250,"veh_value",8.50320158167768,180.793846371585
500,"agecat",4.00975355434883,167.309262547319
500,"area",4.77581703606847,135.895262269656
500,"exposure",7.2329594851531,380.438493162697
500,"gender",5.71265782999367,85.0363635383431
500,"veh_age",3.49378385939349,101.177425771255
500,"veh_body",2.45631218566225,126.364983175388
500,"veh_value",9.88874789150992,179.166724483633
1000,"agecat",3.1564594564559,167.093495880098
1000,"area",2.20269712867539,133.141281782548
1000,"exposure",2.8782986223068,379.39439734995
1000,"gender",2.74634504694353,84.8097561765571
1000,"veh_age",1.73314722313762,101.826424464427
1000,"veh_body",1.63223112639584,126.034291576981
1000,"veh_value",5.15001912947176,177.728268260523
