"Feature","Mean_Absolute_SHAP","Seed"
"horTh",0.0117522667537959,123
"age",0.0252179600515948,123
"menostat",0.00304578044373783,123
"tsize",0.0319796143754879,123
"tgrade",0.00499892028363849,123
"pnodes",0.0551616546639988,123
"progrec",0.0639796570608174,123
"estrec",0.0358575354780911,123
"horTh",0.0118385340272809,456
"age",0.022721080063604,456
"menostat",0.0032787659102344,456
"tsize",0.030747534123392,456
"tgrade",0.00391185426462917,456
"pnodes",0.0580249428194312,456
"progrec",0.0619493707707418,456
"estrec",0.0358511078349465,456
"horTh",0.0103767970255385,789
"age",0.0228254008046989,789
"menostat",0.00230385089028637,789
"tsize",0.0348147430942957,789
"tgrade",0.00477871438773106,789
"pnodes",0.0576315214976205,789
"progrec",0.0652942035188215,789
"estrec",0.0362059767151121,789
"horTh",0.011216655649192,1011
"age",0.0251119520558693,1011
"menostat",0.00219161202194463,1011
"tsize",0.0346112824660473,1011
"tgrade",0.00514003155326615,1011
"pnodes",0.0551982967170312,1011
"progrec",0.0662402677440761,1011
"estrec",0.0344439093172461,1011
"horTh",0.0125930938982354,2022
"age",0.0226519832428504,2022
"menostat",0.00205177668402813,2022
"tsize",0.0336081776073306,2022
"tgrade",0.00546849106119669,2022
"pnodes",0.0584083252507753,2022
"progrec",0.0634306918242339,2022
"estrec",0.0360133691583481,2022
