"Feature","Mean_Absolute_SHAP","Trees","Run"
"horTh",0.0133777714103521,50,1
"age",0.0198062293467977,50,1
"menostat",0.0050829236350896,50,1
"tsize",0.0212112225104538,50,1
"tgrade",0.00641637969101003,50,1
"pnodes",0.0680752169929282,50,1
"progrec",0.0516169470157809,50,1
"estrec",0.0323179053177344,50,1
"horTh",0.0173555242390257,50,2
"age",0.0190613641324399,50,2
"menostat",0.005503672549869,50,2
"tsize",0.0233871761234018,50,2
"tgrade",0.00566505299714599,50,2
"pnodes",0.0663445158488143,50,2
"progrec",0.0535257474514013,50,2
"estrec",0.0341888894261851,50,2
"horTh",0.0156381549860305,50,3
"age",0.0220191277716294,50,3
"menostat",0.002775469871241,50,3
"tsize",0.0244090464506399,50,3
"tgrade",0.00813130516201546,50,3
"pnodes",0.0696054432385914,50,3
"progrec",0.0490323975030561,50,3
"estrec",0.0352460734650884,50,3
"horTh",0.0135526668830433,100,1
"age",0.0205685671053749,100,1
"menostat",0.00387853084782656,100,1
"tsize",0.0200179349047433,100,1
"tgrade",0.00547319217403627,100,1
"pnodes",0.0656026513627927,100,1
"progrec",0.0519128186141933,100,1
"estrec",0.0339611613083691,100,1
"horTh",0.0156290139086145,100,2
"age",0.0196912098517445,100,2
"menostat",0.00356451301067292,100,2
"tsize",0.023255197627302,100,2
"tgrade",0.00595860399271038,100,2
"pnodes",0.0645592021253833,100,2
"progrec",0.0485196086890075,100,2
"estrec",0.0368485800291671,100,2
"horTh",0.0142711734508458,100,3
"age",0.0232514533445098,100,3
"menostat",0.00235456158712441,100,3
"tsize",0.0219281761159175,100,3
"tgrade",0.00669743408576367,100,3
"pnodes",0.0678954728046986,100,3
"progrec",0.0467501992337806,100,3
"estrec",0.0370567430617003,100,3
"horTh",0.0134656410918104,250,1
"age",0.021423573908666,250,1
"menostat",0.00300553201071403,250,1
"tsize",0.019711262755893,250,1
"tgrade",0.00579674988346659,250,1
"pnodes",0.0660662632392709,250,1
"progrec",0.0482754084280454,250,1
"estrec",0.0362176140835917,250,1
"horTh",0.0146644544273671,250,2
"age",0.0219337549338181,250,2
"menostat",0.00251356680210135,250,2
"tsize",0.0204818203365707,250,2
"tgrade",0.0057378960104521,250,2
"pnodes",0.0659587113427819,250,2
"progrec",0.0483105532516791,250,2
"estrec",0.037902693289766,250,2
"horTh",0.0133131339168606,250,3
"age",0.0229624330387975,250,3
"menostat",0.00231523370938437,250,3
"tsize",0.0219226377233854,250,3
"tgrade",0.00665369814574919,250,3
"pnodes",0.0683095771299148,250,3
"progrec",0.0481763546129585,250,3
"estrec",0.0354717053270632,250,3
"horTh",0.0134004773304775,500,1
"age",0.0217069701784496,500,1
"menostat",0.002278603394296,500,1
"tsize",0.0201100650586612,500,1
"tgrade",0.0058588319933708,500,1
"pnodes",0.0669893322892494,500,1
"progrec",0.0473807915793114,500,1
"estrec",0.0368662438408515,500,1
"horTh",0.0141492338542888,500,2
"age",0.022289709782424,500,2
"menostat",0.00258715250065291,500,2
"tsize",0.0195594143613698,500,2
"tgrade",0.00625655696809134,500,2
"pnodes",0.0659225201642312,500,2
"progrec",0.0496122586298126,500,2
"estrec",0.0370701350722751,500,2
"horTh",0.0130835026782363,500,3
"age",0.0227811987627938,500,3
"menostat",0.00255502999274209,500,3
"tsize",0.019575708965958,500,3
"tgrade",0.00653769117676872,500,3
"pnodes",0.0661565648479171,500,3
"progrec",0.047337210621015,500,3
"estrec",0.036946469735969,500,3
"horTh",0.0133847895069585,1000,1
"age",0.0217106639162467,1000,1
"menostat",0.00231021984980883,1000,1
"tsize",0.0195907886251159,1000,1
"tgrade",0.00629299601979636,1000,1
"pnodes",0.0668918052247899,1000,1
"progrec",0.0490309168613292,1000,1
"estrec",0.036236715636098,1000,1
"horTh",0.0138136917123445,1000,2
"age",0.0220952076506225,1000,2
"menostat",0.00255720575574887,1000,2
"tsize",0.0193983174395323,1000,2
"tgrade",0.00671223731634709,1000,2
"pnodes",0.0659605535544608,1000,2
"progrec",0.0481762503931152,1000,2
"estrec",0.0368737831480314,1000,2
"horTh",0.0130945255513639,1000,3
"age",0.0224213490094776,1000,3
"menostat",0.00253112875041047,1000,3
"tsize",0.0199001568828821,1000,3
"tgrade",0.00659925700730905,1000,3
"pnodes",0.0661323905722099,1000,3
"progrec",0.0468198833081455,1000,3
"estrec",0.0374306888671664,1000,3
