"Trees","Feature","SD_SHAP","Mean_Absolute_SHAP"
50,"age",0.00153840335908668,0.020295573750289
50,"estrec",0.00148281198658529,0.033917622736336
50,"horTh",0.00199504421949117,0.0154571502118028
50,"menostat",0.00146881258035531,0.0044540220187332
50,"pnodes",0.0016314904358976,0.0680083920267779
50,"progrec",0.0022551278250927,0.0513916973234127
50,"tgrade",0.00126411107850136,0.00673757928339049
50,"tsize",0.00163325192197544,0.0230024816948318
100,"age",0.0018548570497667,0.0211704101005431
100,"estrec",0.00173027671721823,0.0359554947997455
100,"horTh",0.00105445083395156,0.0144842847475012
100,"menostat",0.000804681298917234,0.00326586848187463
100,"pnodes",0.00170667896420566,0.0660191087642915
100,"progrec",0.00262352569022545,0.0490608755123271
100,"tgrade",0.000616476925567048,0.00604307675083677
100,"tsize",0.001627363794168,0.0217337695493209
250,"age",0.000783852743874617,0.0221065872937606
250,"estrec",0.00124536301795584,0.0365306709001403
250,"horTh",0.000740098976943307,0.0138144098120127
250,"menostat",0.000355405291409356,0.00261144417406658
250,"pnodes",0.00132731524586953,0.0667781839039892
250,"progrec",6.95893808301544e-05,0.0482541054308943
250,"tgrade",0.000512594325240517,0.00606278134655596
250,"tsize",0.00112248927048615,0.0207052402719497
500,"age",0.000537759846537378,0.0222592929078891
500,"estrec",0.000102713958725595,0.0369609495496986
500,"horTh",0.000547249516784249,0.0135444046210009
500,"menostat",0.000169630024306139,0.002473595295897
500,"pnodes",0.000560708872082293,0.0663561391004659
500,"progrec",0.00130110132450247,0.0481100869433796
500,"tgrade",0.000341094168250937,0.00621769337941029
500,"tsize",0.000313320426607026,0.019748396128663
1000,"age",0.000355742268912082,0.0220757401921156
1000,"estrec",0.000597434943637388,0.0368470625504319
1000,"horTh",0.000361803407207584,0.013431002256889
1000,"menostat",0.000135697451649777,0.00246618478532272
1000,"pnodes",0.000495558312867559,0.0663282497838202
1000,"progrec",0.00111496306473825,0.0480090168541966
1000,"tgrade",0.000216919189037499,0.00653483011448417
1000,"tsize",0.000253178692855088,0.0196297543158435
