"Model","Feature","Mean_Absolute_SHAP","SD_SHAP"
"Base","pnodes",0.0666805432306446,0.000611705407430595
"Base","progrec",0.0475687811381998,0.00119961937552272
"Base","estrec",0.0370647860572039,0.00121931748258852
"Base","age",0.0222820195869392,0.000408318401670155
"Base","tsize",0.0197765165313394,0.000877233180200354
"Base","horTh",0.0134248237219444,0.000445145132084467
"Base","tgrade",0.00657592325008345,0.00061326912121834
"Base","menostat",0.00249462578946114,0.00014147832555242
"Overspecified","pnodes",0.0546238565996671,0.00134284304618945
"Overspecified","progrec",0.0484648736437588,0.000983099399057278
"Overspecified","estrec",0.0337335214961901,0.000913190853669381
"Overspecified","age",0.0164634926827747,0.00038259537772917
"Overspecified","tsize",0.0125850481922081,0.000397326745451936
"Overspecified","noise_5",0.0120062806054941,0.000461602295644495
"Overspecified","noise_3",0.00901847179019601,0.000475887923760454
"Overspecified","noise_2",0.00886438703116932,0.000438037566609339
"Overspecified","horTh",0.00822717919721441,0.000435676766035505
"Overspecified","noise_4",0.00633958428778439,0.000503458891503171
"Overspecified","noise_1",0.00578661029349728,0.000247478499394734
"Overspecified","tgrade",0.00316500497474604,0.000226462394475328
"Overspecified","menostat",0.00117648702329259,0.000176228095916408
